927559936,55,male,236,5,5,0,0.5,vejret.dk.msn.com,ams1.ib.adnxs.com,exch-eu.atdmt.com
929036775,55,male,378,10,10,5,0.5,googleads.g.doubleclick.net,www.valutakurser.dk,www.flatpanels.dk
933939721,55,male,540,50,20,40,1.0,eas8.emediate.eu,ams1.ib.adnxs.com,www.boligsiden.dk
965363656,35,male,529,5,15,5,1.0,afe2.specificclick.net,politiken.dk,ad1.emediate.dk
973322175,55,male,430,5,10,0,0.5,www.krak.dk,afe2.specificclick.net,baboon.eniro.dk
988566241,35,male,250,5,5,0,0.5,ekstrabladet.dk,jyllands-posten.dk,googleads.g.doubleclick.net
997316925,55,male,352,5,5,0,0.5,www.lauritz.com,www.boliga.dk,afe2.specificclick.net
1038489931,25,male,316,15,10,10,1.0,map.krak.dk,www.krak.dk,googleads.g.doubleclick.net
1056684225,25,male,503,10,25,15,1.5,www.trendsales.dk,ams1.ib.adnxs.com,politiken.dk
1066632315,55,male,380,5,10,5,0.5,www.dk-kogebogen.dk,afe2.specificclick.net,www.tvguide.dk
1079352855,45,male,301,0,10,0,1.0,tv2.dk,www.bold.dk,e2.emediate.se
1080806235,55,male,288,0,5,0,0.5,view.atdmt.com,googleads.g.doubleclick.net,www.udeoghjemme.dk
1111637475,25,male,537,40,25,40,1.0,tv2.dk,nyhederne.tv2.dk,www.bt.dk
1131959191,45,male,538,20,20,15,1.0,afe2.specificclick.net,politiken.dk,eas.information.dk
1154754016,55,male,397,0,5,0,0.5,www.sydsverige.dk,eas4.emediate.eu,nielskrause.blogs.berlingske.dk
1162379941,55,male,323,5,5,0,0.5,www.degulesider.dk,map.krak.dk,afe2.specificclick.net
1166721706,55,male,501,20,10,10,0.5,www.boliga.dk,ekstrabladet.dk,googleads.g.doubleclick.net
1177471485,45,male,46,10,10,50,5.0,exch-eu.atdmt.com,fynskemedieradmin.adservinginternational.com,d5p.de17a.com
1181377561,25,male,529,10,10,5,0.5,www.dmi.dk,facebook.com,ekstrabladet.dk
1194968011,55,male,429,5,10,0,0.5,www.dmi.dk,afe2.specificclick.net,aka-cdn-ns.adtech.de
1198676071,45,male,435,15,20,15,1.0,eas8.emediate.eu,nyhederne.tv2.dk,www.krak.dk
1203755116,55,male,534,20,15,15,0.5,eas8.emediate.eu,afe2.specificclick.net,vejret.tv2.dk
1212236851,35,male,46,5,5,5,1.5,ekstrabladet.dk,view.atdmt.com,afe2.specificclick.net
1222251526,55,male,452,5,5,0,0.5,googleads.g.doubleclick.net,politiken.dk,www.krak.dk
1224290611,25,male,526,30,15,20,0.5,eas8.emediate.eu,afe2.specificclick.net,ams1.ib.adnxs.com
1284273226,55,male,481,15,10,10,0.5,nyhederne.tv2.dk,afe2.specificclick.net,tv2.dk
1324694356,55,male,353,5,5,5,0.5,ekstrabladet.dk,tv2.dk,jyllands-posten.dk
1331907001,unknown,male,527,10,10,5,0.5,eas8.emediate.eu,afe2.specificclick.net,www.ni.dk
1350838531,45,male,528,15,20,15,1.0,ib.adnxs.com,www.dba.dk,ams1.ib.adnxs.com
1392327856,55,male,346,5,5,0,0.5,bannerfactory.bilzonen.dk,afe2.specificclick.net,ams1.ib.adnxs.com
1413544681,25,male,525,40,15,25,0.5,www.bold.dk,ekstrabladet.dk,tv2.dk
1457155816,unknown,male,61,5,5,10,1.5,jyllands-posten.dk,www.dmi.dk,vejret.tv2.dk
1460049811,25,male,452,5,20,5,1.0,ams1.ib.adnxs.com,googleads.g.doubleclick.net,ekstrabladet.dk
1481554291,55,male,526,35,20,30,1.0,ekstrabladet.dk,nm.adservinginternational.com,afe2.specificclick.net
1482147226,55,male,97,0,5,0,0.5,www.rejseplanen.dk,ams1.ib.adnxs.com,googleads.g.doubleclick.net
1485097516,unknown,male,318,5,10,0,0.5,www.krak.dk,www.degulesider.dk,www.dmi.dk
1492758976,45,male,501,15,15,15,1.0,jyllands-posten.dk,googleads.g.doubleclick.net,ad.doubleclick.net
1502642055,35,male,435,25,10,10,0.5,ams1.ib.adnxs.com,googleads.g.doubleclick.net,d5p.de17a.com
1525048861,55,male,299,5,5,0,0.0,politiken.dk,www.skyscanner.dk,www.travellink.dk
1539094111,55,male,533,10,20,10,1.0,ekstrabladet.dk,www.dk-kogebogen.dk,googleads.g.doubleclick.net
1584846375,35,male,438,20,20,20,1.0,ekstrabladet.dk,www.bt.dk,www.aok.dk
1612973145,55,male,451,15,10,10,0.5,dk-kogebogen.dk,www.dk-kogebogen.dk,ams1.ib.adnxs.com
